time,traffic_light_id,state,phase,phase_duration,next_switch
95.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrGrGr,5,32.0,110.8
95.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggGrrr,0,16.0,100.75
95.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrGrG,0,22.0,107.0
95.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,97.0
95.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,100.0
100.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrGrGr,5,32.0,110.8
100.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggGrrr,0,16.0,100.75
100.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrGrG,0,22.0,107.0
100.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,102.0
100.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,105.0
105.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrGrGr,5,32.0,110.8
105.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggGrrr,0,16.0,105.75
105.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrGrG,0,22.0,107.0
105.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGGrr,3,37.0,125.0
105.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,110.0
110.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrGrGr,5,32.0,110.8
110.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrG,6,18.0,127.0
110.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGGrGr,6,22.0,127.0
110.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGGrr,3,37.0,125.0
110.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,115.0
115.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrGrG,0,33.0,167.6
115.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrG,6,18.0,127.0
