time,vehicle_id,position,speed,lane_id,waiting_time,acceleration,distance,route_id,type_id,co2_emission,fuel_consumption,noise_emission,hc_emission,pmx_emission,nox_emission
65.0,veh39,"(403.5387562228387, 54.55754231789946)",13.888146172316702,399294707#1_2,0.0,-0.028751827683299425,13.888146172316704,!veh39!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
65.0,veh5,"(419.31255397215597, 271.99125433817824)",12.291037703235299,1051478559#1_1,0.0,-0.5209183610742905,326.07307065638986,!veh5!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
65.0,veh6,"(229.83175423136294, 235.92713542855677)",0.0,-381243038#4_1,12.0,0.0,293.28688252301214,!veh6!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
65.0,veh7,"(111.5488618593915, 104.70982349206487)",5.062050586939759,:cluster_123292031_3663224275_3663224276_3663662936_#1more_0_0,0.0,-3.8919505666133842,434.30521728549616,!veh7!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
65.0,veh8,"(225.16408385644814, 230.06205350324495)",0.0,-381243038#4_1,10.0,0.0,285.78583473918735,!veh8!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
65.0,veh9,"(428.4408261733349, 278.352241409449)",15.087407644330089,1051478559#1_2,0.0,2.2008171177469187,307.1042707948658,!veh9!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,bus0,"(69.54759708231289, 436.04833482727116)",9.040585184287973,167413478#1_0,0.0,1.1595568686258053,592.546819554497,!bus0!var#1,bus_bus,0.0,0.0,0.0,0.0,0.0,0.0
70.0,bus1,"(214.52195303118808, 216.68986478026207)",0.0,-381243038#4_1,6.0,0.0,290.2036991061742,!bus1!var#1,bus_bus,0.0,0.0,0.0,0.0,0.0,0.0
70.0,bus2,"(152.27511273320164, 352.34235986892287)",0.008597385531323052,399311986#1_0,3.0,-0.005398028621086355,179.85893372752116,!bus2!var#1,bus_bus,0.0,0.0,0.0,0.0,0.0,0.0
70.0,bus3,"(53.169392633102206, 388.55127800746124)",9.908166090504263,:cluster_123241924_382443557_5344542568_5546892974_#3more_22_0,0.0,0.8481588049326092,49.637631594707244,!bus3!var#1,bus_bus,0.0,0.0,0.0,0.0,0.0,0.0
70.0,bus4,"(87.86682532363844, 52.40207279201458)",13.67853058568202,-381243038#9_0,0.0,-0.04687855909578431,54.28852346850559,!bus4!var#1,bus_bus,0.0,0.0,0.0,0.0,0.0,0.0
70.0,truck0,"(220.7553507668313, 224.52233482550776)",0.4161340132129191,-381243038#4_1,0.0,0.4161340132129191,305.1209048030308,!truck0!var#1,truck_truck,0.0,0.0,0.0,0.0,0.0,0.0
70.0,truck1,"(348.94453898903305, 178.35399501055497)",5.241449408768677,:cluster_123281084_3663662939_3664674395_3664674397_#1more_5_1,0.0,0.6510249494458549,188.1089494265569,!truck1!var#1,truck_truck,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh0,"(352.9060072486762, 198.70818158537313)",15.724777948424222,399294708#0_0,0.0,-0.6924524340545766,756.4715737835949,!veh0!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh1,"(237.86173458951657, 266.63826541048337)",4.180935340293729,:cluster_123292029_3663224277_3663224278_5344542569_#1more_24_0,0.0,-2.5375257648183496,330.23549165451243,!veh1!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh10,"(211.5505463608988, 207.81361084552782)",3.9497204642900554,-381243038#4_0,0.0,2.1214571202639485,268.9199126460958,!veh10!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh11,"(428.6745576266706, 283.79431617291857)",13.308407934365736,1051478559#1_1,0.0,1.4106022733496495,319.6682079310611,!veh11!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh14,"(162.27513026224491, 344.35238180739776)",0.0,399311986#1_4,11.0,0.0,182.57890565621008,!veh14!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh15,"(257.3309895446917, 265.16598637674474)",8.075257631042042,:cluster_123292029_3663224277_3663224278_5344542569_#1more_6_0,0.0,1.342460114252754,201.24457092193006,!veh15!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh16,"(230.8586974164018, 260.0002256311508)",0.0,-399296451#1_0,4.0,-0.0007464034469949131,268.2789864758596,!veh16!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh17,"(242.91707887511612, 254.56413143944215)",6.502319038943483,:cluster_123292029_3663224277_3663224278_5344542569_#1more_24_0,0.0,1.8438507790444412,184.16055463631167,!veh17!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh18,"(337.3372673862923, 191.69873669590567)",11.471589347091504,:cluster_123281084_3663662939_3664674395_3664674397_#1more_5_0,0.0,2.139033462945372,177.94483455134358,!veh18!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh19,"(232.77867441030207, 262.5602428641549)",0.00017685741494338726,-399296451#1_1,5.0,-0.0020246191612775613,270.89895773588364,!veh19!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh20,"(200.04927673036946, 394.1953014322758)",12.83344870379839,237022767#3_3,0.0,0.6694283210439611,130.50773559006896,!veh20!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh21,"(198.54084493813207, 402.55784605524536)",12.662337268554197,237022767#3_1,0.0,-0.9517100399592895,124.91365816282888,!veh21!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh22,"(187.0936762876598, 182.22194653703983)",11.481426157953399,:cluster_13026017755_6784790699_7_1,0.0,-0.4722467468585805,224.6323657750072,!veh22!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh23,"(355.0417400347344, 177.59451759623565)",8.016758804366797,:cluster_123281084_3663662939_3664674395_3664674397_#1more_5_0,0.0,2.2362889320822434,190.08098249203778,!veh23!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh24,"(130.24904637314953, 88.21363980473387)",0.00019528940733958,777294311#1_0,4.0,-0.0024577035150722603,137.4489906689911,!veh24!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh25,"(263.1833082282155, 255.31846008747328)",1.8684157195205149,399296457#1_0,0.0,-3.876903830560434,273.857514727402,!veh25!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh26,"(166.95911293595518, 350.21462053011925)",0.0,399311986#1_4,10.0,0.0,163.33789531602577,!veh26!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh27,"(233.63624961835214, 43.5345226277548)",0.002909734072728351,399294709#3_0,3.0,-0.0035439326804839267,251.45618344355483,!veh27!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh28,"(95.30829208495754, 363.8733038590478)",14.891468418656961,-185747928#2_0,0.0,-0.7652376068057496,99.53232831923418,!veh28!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh29,"(173.78197989402642, 165.47571664087195)",11.98564374018751,-381243038#5_1,0.0,-0.14960111460691294,203.28110076389123,!veh29!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh3,"(329.2164545395313, 185.88332233641128)",0.0,-381188582#1_0,14.0,0.0,427.14891922749524,!veh3!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh30,"(222.65278102162466, 29.743341753762266)",0.0,399294709#4_0,8.0,0.0,101.00892816250568,!veh30!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh31,"(74.86376181834216, 41.11977523399724)",12.983752517785497,-381243038#9_1,0.0,0.73284598191443,156.9325338951544,!veh31!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh32,"(435.69858219905365, 92.89583100887609)",4.200725581357256,:cluster_123308403_3663827018_3663827019_3664674393_#1more_5_0,0.0,1.9144865762675183,64.105959537454,!veh32!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh33,"(219.7652544591012, 272.3081063598209)",10.386258752810953,-399296451#1_1,0.0,-4.384786643445041,252.0221658159382,!veh33!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh34,"(432.6372603532401, 93.97382303121076)",3.3678621990606192,:cluster_123308403_3663827018_3663827019_3664674393_#1more_5_1,0.0,1.3419164310442286,63.012791145350945,!veh34!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh35,"(341.94979276897095, 384.11731172269396)",11.300075135273127,381243038#1_0,0.0,-1.0196925272699442,106.98827865236561,!veh35!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh36,"(238.32292593949117, 49.4056697153504)",0.3039096926313851,399294709#3_0,0.0,-2.227884702389753,75.87390216147116,!veh36!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh37,"(401.05781906087765, 254.1312215260465)",14.094055542413853,1051478559#1_0,0.0,0.18996340497396957,82.6987016642583,!veh37!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh38,"(461.04992982660633, 330.5026807667122)",8.555124440939164,:cluster_3664723686_3698084157_3698084158_3698084159_#1more_3_0,0.0,1.6254563231486836,34.6678195897201,!veh38!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh39,"(428.22615605774445, 82.87547193075342)",1.6789245158458406,1121666264#0_2,0.0,-1.3345081805989643,51.59521813478291,!veh39!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh40,"(258.67, 492.54)",0.0,1121247208_0,4.0,0.0,0.0,!veh40!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh41,"(196.44643750142308, 289.7826718739327)",4.242481518839487,-404989116#0_0,0.0,1.3419013330712923,8.445546876778828,!veh41!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
70.0,veh42,"(228.35576759857102, 429.62518096199676)",1.7159932818030939,237022767#3_3,0.0,1.7159932818030939,1.7159932818030939,!veh42!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
