time,traffic_light_id,state,phase,phase_duration,next_switch
80.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrrrrr,4,5.0,85.0
80.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGrrr,4,5.0,85.0
80.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrrrr,4,5.0,85.0
85.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrGrGr,5,32.0,110.0
85.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrG,6,18.0,110.0
85.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGGrGr,6,22.0,110.0
85.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,110.0
85.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,110.0
90.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrGrGr,5,32.0,110.0
90.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrG,6,18.0,110.0
90.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGGrGr,6,22.0,110.0
90.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,110.0
90.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,110.0
95.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrGrGr,5,32.0,110.0
95.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrG,6,18.0,110.0
95.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGGrGr,6,22.0,110.0
95.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,110.0
95.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,110.0
100.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrGrGr,5,32.0,110.0
100.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrG,6,18.0,110.0
100.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGGrGr,6,22.0,110.0
100.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,110.0
100.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,110.0
105.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrGrGr,5,32.0,110.0
105.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrG,6,18.0,110.0
105.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGGrGr,6,22.0,110.0
105.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,110.0
105.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,110.0
110.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrrrrr,6,5.0,135.0
110.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrr,7,5.0,135.0
110.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGrrrr,7,5.0,135.0
110.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,135.0
110.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,135.0
115.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrrrrr,6,5.0,135.0
115.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrr,7,5.0,135.0
115.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGrrrr,7,5.0,135.0
115.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,135.0
115.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,135.0
120.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrrrrr,6,5.0,135.0
120.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrr,7,5.0,135.0
120.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGrrrr,7,5.0,135.0
120.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,135.0
120.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,135.0
125.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrrrrr,6,5.0,135.0
125.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrr,7,5.0,135.0
125.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGrrrr,7,5.0,135.0
125.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,135.0
125.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,135.0
130.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrrrrr,6,5.0,135.0
130.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrr,7,5.0,135.0
130.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGrrrr,7,5.0,135.0
130.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,135.0
130.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,135.0
135.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrGrG,0,33.0,160.0
135.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrggGgGrrrrrrrrrrrrrrrGGGr,10,18.0,160.0
135.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrGrG,0,22.0,160.0
135.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGGrr,3,37.0,160.0
135.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrGrG,3,37.0,160.0
140.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrGrG,0,33.0,160.0
140.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrggGgGrrrrrrrrrrrrrrrGGGr,10,18.0,160.0
140.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrGrG,0,22.0,160.0
140.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGGrr,3,37.0,160.0
140.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrGrG,3,37.0,160.0
145.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrGrG,0,33.0,160.0
145.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrggGgGrrrrrrrrrrrrrrrGGGr,10,18.0,160.0
145.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrGrG,0,22.0,160.0
145.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGGrr,3,37.0,160.0
145.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrGrG,3,37.0,160.0
150.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrGrG,0,33.0,160.0
150.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrggGgGrrrrrrrrrrrrrrrGGGr,10,18.0,160.0
150.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrGrG,0,22.0,160.0
150.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGGrr,3,37.0,160.0
